time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/n_updates,train/approx_kl,train/loss,train/learning_rate,train/clip_range,train/std,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/entropy_loss
1,45.0,-10.136803,128,230,0,,,,,,,,,,,
2,40.833333333333336,-10.192021,256,221,1,0.1359375,10,0.018240679,2.228757619857788,0.0003,0.2,1.002295732498169,-0.012128710746765137,-0.019521081540733575,5.738976490497589,-14.200874948501587
3,54.0,-10.357847,384,218,1,0.00078125,20,0.0030907337,7.509369373321533,0.0003,0.2,1.0028208494186401,0.03498554229736328,-0.006280854204669594,18.97863874435425,-14.216381168365478
4,54.0,-10.357847,512,217,2,0.065625,30,0.015910437,1.8972982168197632,0.0003,0.2,1.0038728713989258,-0.020827054977416992,-0.01920829969458282,4.254828178882599,-14.221408033370972
5,54.0,-10.357847,640,216,2,0.1875,40,0.017852556,-0.049655307084321976,0.0003,0.2,1.0050618648529053,0.3826627731323242,-0.022633578814566135,0.053085368638858196,-14.232993555068969
6,54.0,-10.357847,768,216,3,0.18984375,50,0.021875568,-0.06043629348278046,0.0003,0.2,1.0031291246414185,0.8226938992738724,-0.02056124610826373,0.005730014067376032,-14.23393087387085
7,110.875,-12.399271,896,216,4,0.165625,60,0.02662021,-0.029224533587694168,0.0003,0.2,1.0020766258239746,0.8856695145368576,-0.019394037872552873,0.03397459320258349,-14.212476634979248
8,110.875,-12.399271,1024,215,4,0.0484375,70,0.013210032,1.7070338726043701,0.0003,0.2,1.0022333860397339,-0.15882599353790283,-0.016224228078499436,3.928397762775421,-14.209780550003051
9,110.0,-16.212238,1152,215,5,0.190625,80,0.027323853,-0.03778766840696335,0.0003,0.2,1.0015394687652588,0.8442670553922653,-0.0248189153149724,0.018525818712078035,-14.209998559951782
10,99.25,-15.2171545,1280,214,5,0.003125,90,0.0028324188,74.57147979736328,0.0003,0.2,1.000685453414917,0.047982096672058105,-0.006221559830009937,130.07371520996094,-14.198624277114869
11,105.07692307692308,-14.927645,1408,214,6,0.025,100,0.010159712,1.9803719520568848,0.0003,0.2,1.0007916688919067,-0.1574033498764038,-0.016597905149683356,4.075640594959259,-14.19523310661316
12,100.46666666666667,-14.389936,1536,213,7,0.14375,110,0.019758116,0.5047258138656616,0.0003,0.2,1.0002269744873047,0.09742653369903564,-0.02110565253533423,1.5887062788009643,-14.194651174545289
13,100.46666666666667,-14.389936,1664,213,7,0.1046875,120,0.020434823,0.9307755827903748,0.0003,0.2,1.0002390146255493,0.09642541408538818,-0.01755483839660883,2.3254737198352813,-14.188995552062988
14,97.94444444444444,-13.860534,1792,212,8,0.07578125,130,0.015753537,-0.0029955431818962097,0.0003,0.2,1.0000160932540894,0.5818060040473938,-0.014965874934569,0.11681550834327936,-14.192269563674927
15,94.7,-13.569559,1920,211,9,0.00859375,140,0.006762796,0.9147821068763733,0.0003,0.2,0.9997571706771851,-0.16715693473815918,-0.007216135831549763,3.9430952072143555,-14.186392974853515
16,88.45454545454545,-13.262618,2048,211,9,0.06328125,150,0.01355369,0.7630924582481384,0.0003,0.2,1.00005042552948,0.17242646217346191,-0.013013488915748894,1.7658864915370942,-14.1870596408844
17,88.45454545454545,-13.262618,2176,211,10,0.06015625,160,0.011526229,0.7593898177146912,0.0003,0.2,1.0014444589614868,-0.4569481611251831,-0.016252302285283803,1.545142447948456,-14.194405555725098
18,88.45454545454545,-13.262618,2304,210,10,0.0921875,170,0.01795588,-0.00442789401859045,0.0003,0.2,1.0027045011520386,0.7991466820240021,-0.01989671979099512,0.11626026406884193,-14.208981800079346
19,88.45454545454545,-13.262618,2432,210,11,0.15546875,180,0.023595862,-0.039938606321811676,0.0003,0.2,1.0037468671798706,-0.6105103492736816,-0.014792608236894012,0.046516847843304274,-14.219789838790893
20,88.45454545454545,-13.262618,2560,210,12,0.1328125,190,0.017667368,-0.002629662863910198,0.0003,0.2,1.0039873123168945,-0.8185631036758423,-0.016878381231799723,0.03810215606354177,-14.227996635437012
