time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/n_updates,train/approx_kl,train/loss,train/learning_rate,train/clip_range,train/std,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/entropy_loss
32,131.91666666666666,-14.822689,4096,210,19,0.12734375,310,0.020168863,0.07884421944618225,0.0003,0.2,1.0018306970596313,0.15626543760299683,-0.016690165596082808,0.8100506089627743,-14.205472278594971
33,160.73076923076923,-18.176334,4224,210,20,0.053125,320,0.013059681,0.26681438088417053,0.0003,0.2,1.001527190208435,0.036146342754364014,-0.014271474955603481,1.4867549031972884,-14.203963661193848
34,160.73076923076923,-18.176334,4352,210,20,0.03515625,330,0.010714897,1.0288761854171753,0.0003,0.2,1.0014034509658813,0.8017230182886124,-0.0213519970420748,3.229332756996155,-14.200880432128907
35,162.66666666666666,-18.088247,4480,210,21,0.05234375,340,0.011892663,-0.02609533816576004,0.0003,0.2,1.000601887702942,0.9973761246073991,-0.011359656602144242,0.020312859048135578,-14.198197412490845
36,162.66666666666666,-18.088247,4608,210,21,0.078125,350,0.01967441,0.01638750359416008,0.0003,0.2,0.9988104104995728,0.8730704039335251,-0.02329270392656326,0.21210697703063489,-14.183075523376464
37,162.66666666666666,-18.088247,4736,210,22,0.125,360,0.019625794,-0.013650660403072834,0.0003,0.2,0.9996871948242188,0.9891741052269936,-0.015350303193554283,0.030131886014714837,-14.175450658798217
38,162.66666666666666,-18.088247,4864,210,23,0.196875,370,0.030909099,-0.02214762568473816,0.0003,0.2,1.0007879734039307,0.7108369469642639,-0.02224586228840053,0.02464570328593254,-14.189163541793823
39,171.93103448275863,-20.255941,4992,210,23,0.11796875,380,0.019886976,-0.008886471390724182,0.0003,0.2,1.0010249614715576,0.07412636280059814,-0.01706174612045288,0.17617499735206366,-14.195492315292359
40,171.93103448275863,-20.255941,5120,211,24,0.0,390,0.0006742794,54.74333572387695,0.0003,0.2,1.0009485483169556,0.03384643793106079,-0.0016483404207974673,120.76012058258057,-14.19530210494995
41,171.93103448275863,-20.255941,5248,211,24,0.00390625,400,0.0043560388,-0.0011656936258077621,0.0003,0.2,1.0012729167938232,0.9603869356215,-0.008239638479426502,0.3756090736016631,-14.195982265472413
42,171.93103448275863,-20.255941,5376,211,25,0.1578125,410,0.025820903,-0.03686944395303726,0.0003,0.2,1.0010559558868408,0.9179179593920708,-0.023215987533330918,0.031671167444437744,-14.198240804672242
43,181.4,-20.948034,5504,211,26,0.2484375,420,0.027443856,-0.05392201989889145,0.0003,0.2,1.0004762411117554,-0.11007833480834961,-0.02999280337244272,0.01462347712367773,-14.194468069076539
44,181.4,-20.948034,5632,211,26,0.14453125,430,0.024577074,-0.04317275434732437,0.0003,0.2,0.9989216923713684,0.9654918499290943,-0.027925078105181456,0.07869904283434152,-14.183963584899903
45,181.4,-20.948034,5760,211,27,0.175,440,0.035670936,-0.054996028542518616,0.0003,0.2,0.9976087808609009,0.982934420928359,-0.02446057931520045,0.05465324160177261,-14.168276691436768
46,183.53125,-20.516495,5888,211,27,0.09453125,450,0.023448082,-0.011913672089576721,0.0003,0.2,0.996937096118927,0.8963723629713058,-0.025618447037413717,0.2089707032777369,-14.158559083938599
47,176.35294117647058,-19.932299,6016,211,28,0.04296875,460,0.012680538,0.5980109572410583,0.0003,0.2,0.9972293972969055,0.4110087752342224,-0.013987015187740325,1.7497289299964904,-14.155800724029541
48,172.42857142857142,-19.65187,6144,211,29,0.01875,470,0.0066011795,1.2518082857131958,0.0003,0.2,0.9976272583007812,0.10894954204559326,-0.008081393386237323,2.3092496573925017,-14.160146474838257
49,172.42857142857142,-19.65187,6272,211,29,0.11796875,480,0.018263564,0.6263191103935242,0.0003,0.2,0.9976493120193481,-0.12308120727539062,-0.01723369094543159,1.0893191128969193,-14.161502075195312
50,175.0,-19.644737,6400,211,30,0.1296875,490,0.024710726,-0.03832351788878441,0.0003,0.2,0.9983178973197937,0.976120250299573,-0.0205982718616724,0.05003101753536612,-14.163402700424195
