r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
8.845026969909667969e+00,8.845026969909667969e+00,-1.419165325164794922e+01,2.493503332138061523e+00,1.539062500000000000e+01,1.314285755157470703e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.013985157012939453e+00,1.746994495391845703e+00,6.406250000000000000e-01,7.142857313156127930e-01,-4.303239822387695312e+00,1.735461730957031250e+02
1.703906440734863281e+01,1.703906440734863281e+01,-1.169753551483154297e+01,8.780394554138183594e+00,1.435937500000000000e+01,1.471428585052490234e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.044236183166503906e+00,1.768416762351989746e+00,3.906250000000000000e-01,7.142857313156127930e-01,4.997777938842773438e+00,3.402108764648437500e+02
2.530740356445312500e+01,2.530740356445312500e+01,-1.126132488250732422e+01,1.223766231536865234e+01,1.495312500000000000e+01,1.614285659790039062e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.009812355041503906e+00,1.749486207962036133e+00,5.312500000000000000e-01,4.285714328289031982e-01,1.496590018272399902e+00,5.091863403320312500e+02
2.765871429443359375e+01,2.765871429443359375e+01,-1.308690929412841797e+01,7.693389892578125000e+00,1.587500000000000000e+01,1.614285659790039062e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,2.993049860000610352e+00,1.744502902030944824e+00,5.937500000000000000e-01,7.142857313156127930e-01,8.220771551132202148e-01,6.640620117187500000e+02
2.765871429443359375e+01,1.859729957580566406e+01,-1.385886287689208984e+01,5.849521160125732422e+00,1.537500000000000000e+01,1.442857170104980469e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.006527423858642578e+00,1.793204307556152344e+00,5.781250000000000000e-01,7.142857313156127930e-01,-5.001890063285827637e-01,8.315681152343750000e+02
2.765871429443359375e+01,1.667941093444824219e+01,-1.375264549255371094e+01,7.006781101226806641e+00,1.481250000000000000e+01,1.057142829895019531e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.031469345092773438e+00,1.808898806571960449e+00,4.375000000000000000e-01,4.285714328289031982e-01,2.185588598251342773e+00,9.938165283203125000e+02
2.765871429443359375e+01,1.556532573699951172e+01,-1.466332912445068359e+01,6.990979194641113281e+00,1.548437500000000000e+01,1.528571414947509766e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.031027317047119141e+00,1.704894423484802246e+00,4.375000000000000000e-01,2.857142984867095947e-01,2.039461612701416016e+00,1.172395996093750000e+03
