time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/reward,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/approx_kl,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/clip_fraction,train/std,train/value_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance
8,-11.203337,246,-380.9750743085473,2048,59.35294117647059,1,,,,,,,,,,,
17,-11.917788,237,-334.1094588697144,4096,68.01666666666667,2,0.010878222,-14.180559000372886,0.0003,10,4.5697808265686035,0.108740234375,0.9988341331481934,16.109996682405473,-0.013686830620281398,0.2,0.0021001696586608887
26,-10.02744,234,-55.63288913901996,6144,75.8051948051948,3,0.008108255,-14.185084369778632,0.0003,20,16.824983596801758,0.08623046875,0.9998351335525513,17.591116089373827,-0.012543190671567572,0.2,0.0874251127243042
35,-9.977701,233,-206.6831010105723,8192,82.45918367346938,4,0.0066804695,-14.184127509593964,0.0003,30,0.9129787087440491,0.0572265625,0.9995892643928528,45.18261224217713,-0.005672538488579448,0.2,0.1015399694442749
44,-9.510632,232,-154.47437401800352,10240,92.35,5,0.011084466,-14.231910502910614,0.0003,40,0.8493345975875854,0.1048828125,1.0068395137786865,1.8000353936105966,-0.012668536687851884,0.2,0.41342413425445557
53,-8.269672,231,-66.85205481682478,12288,102.37,6,0.012884399,-14.27635624408722,0.0003,50,0.357744961977005,0.14052734375,1.0113087892532349,0.9852217074483633,-0.018570746685145422,0.2,0.5930580794811249
