time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/value_loss,train/n_updates,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,train/std
240,8,2048,-10.334052,1,56.457142857142856,,,,,,,,,,,
232,17,4096,-10.486404,2,65.60655737704919,0.0007224678993225098,-14.174032467603684,7.584277956187725,10,0.011820681,0.0003,-0.017400801152689382,0.130322265625,0.2,3.8697669506073,0.9987454414367676
231,26,6144,-10.827017,3,77.49350649350649,-0.07785820960998535,-14.20147775709629,3.817764735221863,20,0.011127513,0.0003,-0.014658182158018462,0.1064453125,0.2,1.6410061120986938,1.0031068325042725
230,35,8192,-11.753635,4,93.98850574712644,0.04638117551803589,-14.215029406547547,1.8432222234085203,30,0.011805613,0.0003,-0.014425271058280486,0.131591796875,0.2,1.132775902748108,1.002302646636963
229,44,10240,-12.757947,5,107.8913043478261,0.3754235506057739,-14.20847462117672,0.9014864773489535,40,0.014109612,0.0003,-0.0175676897080848,0.186083984375,0.2,0.6535478234291077,1.001394510269165
229,53,12288,-13.706634,6,127.0,0.731832891702652,-14.21184083521366,0.3710354612907395,50,0.01074974,0.0003,-0.013549196773965377,0.147021484375,0.2,0.0412912555038929,1.002943754196167
228,62,14336,-14.806824,7,140.97,0.9425280317664146,-14.202478712797165,0.07126750156458002,60,0.015625514,0.0003,-0.015605372830032138,0.178076171875,0.2,-0.009531864896416664,0.9995689392089844
228,71,16384,-16.015846,8,158.51,0.11993402242660522,-14.197646901011467,7.83747065262869,70,0.007815777,0.0003,-0.007853893735591555,0.085107421875,0.2,14.530373573303223,1.0016459226608276
228,80,18432,-16.619658,9,172.6,0.306418240070343,-14.191339939832687,7.033237634366378,80,0.010367514,0.0003,-0.010176099003001583,0.095654296875,0.2,6.390061855316162,1.0001919269561768
228,89,20480,-17.336817,10,187.77,0.7351606488227844,-14.208216300606727,0.42037170168478044,90,0.01685111,0.0003,-0.014684082886378746,0.172216796875,0.2,0.0633142963051796,1.003737211227417
227,98,22528,-18.473743,11,209.54,0.7751825302839279,-14.224757772684097,0.24194168106769212,100,0.014364941,0.0003,-0.017417470111104193,0.16162109375,0.2,0.12192437052726746,1.0042345523834229
227,107,24576,-19.955633,12,225.44,0.9126376956701279,-14.226765212416648,0.033011515111138576,110,0.012532357,0.0003,-0.009788307311828249,0.16025390625,0.2,-0.0036665210500359535,1.0055211782455444
227,116,26624,-21.067253,13,242.5,0.05619305372238159,-14.247947582602501,11.488155443780125,120,0.009947267,0.0003,-0.008880318624142092,0.09423828125,0.2,4.066402435302734,1.0073916912078857
227,126,28672,-21.926292,14,259.96,0.4077320098876953,-14.281897056102753,4.818425203487277,130,0.0130643165,0.0003,-0.008809853439743165,0.109716796875,0.2,0.049415234476327896,1.0130881071090698
226,135,30720,-22.726778,15,275.28,0.8678669184446335,-14.308821627497673,0.17396898191655055,140,0.011514752,0.0003,-0.011358416209259304,0.110400390625,0.2,0.006425818428397179,1.011962890625
226,144,32768,-24.19899,16,294.36,0.9650337286293507,-14.322624427080154,0.07018124682363122,150,0.009690415,0.0003,-0.012259133134648437,0.1345703125,0.2,0.012862730771303177,1.0167828798294067
226,153,34816,-24.806211,17,311.38,0.7438641488552094,-14.343723675608635,3.716690288623795,160,0.010710657,0.0003,-0.01284116065944545,0.11337890625,0.2,9.313097953796387,1.015992283821106
226,162,36864,-24.736294,18,308.41,0.7811945378780365,-14.304279997944832,0.5399924130178988,170,0.010706291,0.0003,-0.012697023070359137,0.126123046875,0.2,0.21127550303936005,1.009660243988037
226,171,38912,-22.124643,19,258.25,0.6474738717079163,-14.254629546403885,1.3962239517830313,180,0.011549475,0.0003,-0.01219606827798998,0.09697265625,0.2,0.6673446893692017,1.0052961111068726
226,181,40960,-19.610937,20,223.53,0.5490804612636566,-14.229083037376403,7.392453629150987,190,0.0093063265,0.0003,-0.009221220832841936,0.069580078125,0.2,0.7848459482192993,1.0040297508239746
226,190,43008,-16.397514,21,177.06,0.7389599978923798,-14.214599525928497,0.6555522584356368,200,0.012338725,0.0003,-0.010562993201892823,0.13857421875,0.2,0.18559561669826508,1.003275752067566
226,199,45056,-13.591312,22,149.39,0.3796275854110718,-14.221401283144951,7.757481413707137,210,0.012092151,0.0003,-0.011069982878689188,0.121875,0.2,8.325658798217773,1.005516767501831
225,208,47104,-11.231202,23,137.25,0.04656028747558594,-14.234548324346543,40.230123670585456,220,0.010872776,0.0003,-0.006867126422002911,0.10546875,0.2,3.3773717880249023,1.0052175521850586
225,217,49152,-11.296483,24,143.73,0.15403133630752563,-14.212202987074852,42.69633382372558,230,0.00885252,0.0003,-0.008772896842856426,0.07451171875,0.2,18.775121688842773,1.0010374784469604
225,226,51200,-11.957468,25,154.95,0.928227424621582,-14.2180105894804,0.1505286855623126,240,0.013073583,0.0003,-0.012555603434157092,0.155126953125,0.2,0.01514241099357605,1.0051493644714355
225,235,53248,-12.326566,26,169.46,0.14274895191192627,-14.202283030748367,8.656531846523285,250,0.013098743,0.0003,-0.01101313944964204,0.127978515625,0.2,15.992213249206543,0.9996417760848999
225,245,55296,-13.098124,27,184.34,0.8244567960500717,-14.171873018145561,0.21520904562203214,260,0.011103865,0.0003,-0.010355542042816523,0.1501953125,0.2,0.054300397634506226,0.9995185136795044
