time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/n_updates,train/approx_kl,train/value_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/std,train/loss
2048,243,-11.583,1,8,56.888888888888886,,,,,,,,,,,
4096,235,-11.656983,2,17,60.16417910447761,-0.008950291885412298,-14.201537761092187,0.005843460559844971,10,0.0089116935,16.453629168868066,0.094677734375,0.0003,0.2,1.002948522567749,6.8279900550842285
6144,233,-12.343794,3,26,64.55813953488372,-0.011926291034615132,-14.216233626008034,0.04994547367095947,20,0.008893633,11.629721650481224,0.0876953125,0.0003,0.2,1.0026872158050537,3.1446754932403564
8192,231,-13.176903,4,35,84.4020618556701,-0.008522127126343548,-14.21557942032814,0.12882310152053833,30,0.010473506,15.78977248519659,0.112939453125,0.0003,0.2,1.0028365850448608,1.3556547164916992
10240,231,-11.882003,5,44,91.67,-0.01636345641600201,-14.235653245449067,0.6991135478019714,40,0.015757414,0.5343283969443291,0.177978515625,0.0003,0.2,1.0059469938278198,0.2153969556093216
12288,230,-12.5748,6,53,107.08,-0.007558510688977549,-14.241290593147278,-0.005811452865600586,50,0.008258961,42.60963484030217,0.058544921875,0.0003,0.2,1.0050677061080933,1.7044408321380615
14336,230,-13.46967,7,62,122.23,-0.0174192663282156,-14.236576315760612,0.7005474269390106,60,0.016632598,0.30695249944692476,0.178369140625,0.0003,0.2,1.0044028759002686,0.09689474105834961
16384,230,-13.816694,8,71,132.93,-0.007637104592868127,-14.233521923422813,0.3079012632369995,70,0.009539438,6.980137508362532,0.089111328125,0.0003,0.2,1.0048753023147583,0.5257623791694641
18432,229,-13.570361,9,80,148.16,-0.011324341689032735,-14.2150484085083,0.7079820334911346,80,0.012938023,0.2729931980720721,0.154833984375,0.0003,0.2,1.001624345779419,0.020533092319965363
20480,229,-14.600225,10,89,163.09,-0.00962378963449737,-14.19718413054943,0.0995945930480957,90,0.008183202,49.15557247437537,0.10458984375,0.0003,0.2,1.0006287097930908,3.854276657104492
22528,229,-15.039637,11,98,173.3,-0.01257507346017519,-14.194780844449998,0.2079797387123108,100,0.011665307,6.756331145484,0.121630859375,0.0003,0.2,1.0010020732879639,10.171799659729004
24576,228,-14.823382,12,107,190.87,-0.01258643532564747,-14.196876367926597,0.3077271580696106,110,0.010011727,12.205704825557769,0.1095703125,0.0003,0.2,1.0011773109436035,16.767467498779297
26624,228,-13.903892,13,116,183.27,-0.005130756610378739,-14.192004761099815,0.014208316802978516,120,0.010421973,34.00439426004887,0.082958984375,0.0003,0.2,0.9994155764579773,0.3598927855491638
28672,228,-16.004175,14,125,184.13,-0.008201312291203067,-14.195382469892502,0.04131418466567993,130,0.0073465784,57.86619498059154,0.03720703125,0.0003,0.2,1.0024607181549072,23.25871467590332
30720,227,-13.231612,15,134,155.57,-0.0073174376258975824,-14.222900497913361,0.40949785709381104,140,0.007849097,17.15489522665739,0.052197265625,0.0003,0.2,1.0046560764312744,7.875429153442383
32768,227,-12.486056,16,144,144.01,-0.011054820518620546,-14.224801990389825,0.2910793423652649,150,0.012595998,45.22519104368985,0.1212890625,0.0003,0.2,1.00337815284729,1.3563590049743652
34816,227,-12.455003,17,153,119.45,-0.008847018270171248,-14.22209954559803,0.6405433714389801,160,0.011453753,5.168622973002494,0.109912109375,0.0003,0.2,1.0043922662734985,0.6644948124885559
36864,227,-10.727756,18,162,100.59,-0.005819860639167018,-14.244751206040382,0.16219162940979004,170,0.0064069843,60.02870185058564,0.0458984375,0.0003,0.2,1.00775146484375,1.7768616676330566
38912,227,-10.969403,19,171,108.82,-0.0073912430641939865,-14.257746326923371,0.008498907089233398,180,0.010932855,49.363490677252415,0.110791015625,0.0003,0.2,1.006324052810669,76.8012924194336
40960,227,-11.171221,20,180,119.51,-0.011868736522592372,-14.245570489764214,0.6878887116909027,190,0.01604871,1.1742070589680225,0.171728515625,0.0003,0.2,1.0062404870986938,0.22773140668869019
43008,227,-11.323045,21,189,129.7,-0.003727468020224478,-14.248379811644554,0.2095024585723877,200,0.0047942856,54.544738417118786,0.02978515625,0.0003,0.2,1.007228136062622,2.5070393085479736
45056,227,-12.014178,22,198,140.73,-0.01386749479061109,-14.269159442186355,0.8158709406852722,210,0.012432128,0.929556304262951,0.155712890625,0.0003,0.2,1.0099979639053345,0.14174465835094452
47104,227,-12.26019,23,207,153.01,-0.00837615967466263,-14.292361736297607,0.5999044179916382,220,0.010602942,5.8324914972297845,0.115234375,0.0003,0.2,1.012942910194397,0.1049661785364151
49152,227,-12.741577,24,216,166.48,-0.014478815581242088,-14.324272468686104,0.6111073791980743,230,0.016292077,4.826237545534968,0.1671875,0.0003,0.2,1.016621708869934,2.8901853561401367
51200,227,-13.379622,25,225,185.33,-0.00890741158509627,-14.360247260332107,0.9297880679368973,240,0.013544586,0.11535720893880352,0.167431640625,0.0003,0.2,1.0201464891433716,0.03184517100453377
