time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/entropy_loss,train/loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/value_loss,train/n_updates,train/std,train/explained_variance,train/approx_kl,train/learning_rate
33,225,300,-18.574114,277.53,67584,-14.409324553608894,15.271795272827148,-0.004322881172265624,0.070849609375,0.2,41.34282425446436,320,1.0232412815093994,-0.013538241386413574,0.008979651,0.0003
34,225,309,-15.317432,260.94,69632,-14.384005412459373,0.13595211505889893,-0.006124352739425376,0.11845703125,0.2,30.99647813588381,330,1.0194709300994873,0.2273249626159668,0.01395512,0.0003
35,225,318,-13.770905,248.44,71680,-14.371842235326767,5.571995735168457,-0.004392662848476903,0.0296875,0.2,92.32356321364641,340,1.02040433883667,0.12084895372390747,0.0057040798,0.0003
36,225,327,-12.552046,243.57,73728,-14.376508140563965,1.098638653755188,-0.006094259191741003,0.045361328125,0.2,29.193829006142913,350,1.0208661556243896,0.4723989963531494,0.006205285,0.0003
37,225,336,-12.668218,250.4,75776,-14.37669225037098,0.4462158679962158,-0.006959750221722061,0.04326171875,0.2,38.35586890373379,360,1.019808053970337,0.29200631380081177,0.007863718,0.0003
38,225,345,-11.722123,243.19,77824,-14.402824813127518,0.042597103863954544,-0.011128984593233327,0.14326171875,0.2,0.5961950582452118,370,1.0248076915740967,0.7773561179637909,0.014673809,0.0003
39,225,354,-11.649649,254.78,79872,-14.451637780666351,0.02206428349018097,-0.012444815730850678,0.15126953125,0.2,0.281003151810728,380,1.0299301147460938,0.7259554266929626,0.016693791,0.0003
40,225,363,-12.042354,265.57,81920,-14.441191786527634,0.07204049080610275,-0.015865596453659238,0.135888671875,0.2,0.42434255029074847,390,1.026963233947754,0.6534683406352997,0.011761982,0.0003
41,225,372,-13.179763,278.22,83968,-14.439215114712715,0.01386500895023346,-0.017489657107944367,0.17744140625,0.2,0.1301460815302562,400,1.026950716972351,0.896998904645443,0.01515495,0.0003
42,225,381,-13.600894,288.93,86016,-14.445929431915284,0.7359749674797058,-0.00671946859365562,0.109130859375,0.2,5.165231899102219,410,1.0287737846374512,0.354766309261322,0.010323957,0.0003
43,225,390,-14.315254,298.71,88064,-14.447918352484702,0.0006340667605400085,-0.01051103941645124,0.155615234375,0.2,0.1044938076112885,420,1.0276057720184326,0.8434021323919296,0.013631766,0.0003
44,225,399,-11.938367,294.67,90112,-14.467484101653099,0.02544114738702774,-0.00834455615040497,0.140869140625,0.2,0.08160594911314548,430,1.031132459640503,0.8104586750268936,0.0113959145,0.0003
45,225,408,-12.167407,300.28,92160,-14.476057955622673,2.831939935684204,-0.0026693302344938273,0.065234375,0.2,70.4201342811808,440,1.0300534963607788,0.2121468186378479,0.0057398463,0.0003
46,225,417,-12.791934,308.91,94208,-14.484322017431259,0.006715596653521061,-0.010835176345426589,0.1615234375,0.2,0.08052877098089084,450,1.0323829650878906,0.9056065231561661,0.014112636,0.0003
47,225,426,-13.501565,321.67,96256,-14.485828131437302,0.0698433369398117,-0.014208915022027212,0.128125,0.2,0.3655339123681188,460,1.032564401626587,0.8965505734086037,0.01226064,0.0003
48,225,435,-15.0203905,329.42,98304,-14.503930699825286,0.05483585596084595,-0.011840192744421075,0.16103515625,0.2,0.12134515845100395,470,1.0346858501434326,0.9351888224482536,0.012872838,0.0003
49,225,444,-16.180716,333.62,100352,-14.531126621365548,3.8636221885681152,-0.012189032103924547,0.135009765625,0.2,5.160808279970661,480,1.0387729406356812,0.4286128878593445,0.011294519,0.0003
50,226,453,-15.0120325,343.58,102400,-14.551891183853149,0.05307704955339432,-0.015316547892871313,0.17509765625,0.2,0.21206153834937141,490,1.0389236211776733,0.8396739363670349,0.014275693,0.0003
51,226,462,-16.451414,353.97,104448,-14.551654234528542,32.16337585449219,-0.005903601398313185,0.062451171875,0.2,20.09325690730475,500,1.038085699081421,0.47970277070999146,0.007840728,0.0003
