time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/std,train/approx_kl,train/value_loss,train/loss
235,1,1,256,-51.170044,105.0,,,,,,,,,,,
227,2,2,512,-39.488426,153.66666666666666,0.0,0.12132424116134644,0.0003,1010,-0.0029999947641044856,0.2,-14.581765055656433,1.0406832695007324,0.0013484238,59.27951445579529,31.773147583007812
224,3,3,768,-42.49543,139.5,0.009375,0.13533097505569458,0.0003,1020,-0.007959043805021793,0.2,-14.575443339347839,1.040390968322754,0.0044532656,52.55804740190506,26.599721908569336
223,4,4,1024,-38.0035,172.8,0.009375,-0.05364358425140381,0.0003,1030,-0.005575223197229207,0.2,-14.573148107528686,1.0399315357208252,0.0049783136,52.218473243713376,22.467710494995117
222,5,5,1280,-38.0035,172.8,0.099609375,0.9248834326863289,0.0003,1040,-0.016911092633381485,0.2,-14.568507409095764,1.0396283864974976,0.015431608,0.528826036863029,0.0079725943505764
222,6,6,1536,-36.386806,221.83333333333334,0.11328125,0.4224032759666443,0.0003,1050,-0.011040555185172708,0.2,-14.562841868400573,1.0385749340057373,0.014660321,0.30567578389309347,0.0049634529277682304
222,7,8,1792,-33.541653,221.42857142857142,0.143359375,0.8279905766248703,0.0003,1060,-0.029222951363772155,0.2,-14.554987692832947,1.0380645990371704,0.03082431,0.30230957129970193,-0.029896194115281105
221,8,9,2048,-33.61026,212.11111111111111,0.156640625,0.9017066583037376,0.0003,1070,-0.02972669166047126,0.2,-14.550859189033508,1.0377750396728516,0.019951705,0.2391540514305234,0.0008890032768249512
221,9,10,2304,-33.61026,212.11111111111111,0.016015625,0.04732900857925415,0.0003,1080,-0.003078026557341218,0.2,-14.551340508461,1.0380316972732544,0.004822226,56.93557891845703,32.37620544433594
221,10,11,2560,-32.643875,237.5,0.2265625,0.20160120725631714,0.0003,1090,-0.02946639487054199,0.2,-14.553970527648925,1.0381935834884644,0.0200219,0.5925832508131862,-0.01613256335258484
221,11,12,2816,-32.707043,227.66666666666666,0.14765625,0.8399549573659897,0.0003,1100,-0.02474260318558663,0.2,-14.56456413269043,1.0409998893737793,0.02529968,0.17895996058359742,0.001828458160161972
221,12,13,3072,-31.098513,222.3846153846154,0.016796875,0.07157737016677856,0.0003,1110,-0.006238162994850427,0.2,-14.587117767333984,1.0417896509170532,0.0057807043,56.37118263244629,7.90048360824585
220,13,15,3328,-30.534166,230.78571428571428,0.180078125,0.8519716262817383,0.0003,1120,-0.0256942160660401,0.2,-14.592781615257262,1.0430104732513428,0.023128007,0.2490760784596205,0.010702107101678848
220,14,16,3584,-28.503784,222.1875,0.1765625,0.882052943110466,0.0003,1130,-0.024586404557339847,0.2,-14.59824571609497,1.0420186519622803,0.02214073,0.10370778043288738,0.013035242445766926
220,15,17,3840,-28.503784,222.1875,0.178515625,0.28367674350738525,0.0003,1140,-0.027195785171352328,0.2,-14.591546010971069,1.042668342590332,0.021169491,0.5499389640986919,0.34201908111572266
220,16,18,4096,-28.503784,222.1875,0.11015625,0.6583105027675629,0.0003,1150,-0.02001277164090425,0.2,-14.59619677066803,1.0428822040557861,0.008072559,0.26890016202814876,-0.03389066830277443
220,17,19,4352,-29.31873,250.1764705882353,0.284765625,0.23884814977645874,0.0003,1160,-0.0333621449302882,0.2,-14.602782154083252,1.0443360805511475,0.017337423,0.0260080547304824,-0.023210173472762108
220,18,20,4608,-29.31873,250.1764705882353,0.201953125,0.9519800841808319,0.0003,1170,-0.0209728067740798,0.2,-14.599500489234924,1.0414469242095947,0.02403656,0.07547121630050242,-0.02181280590593815
220,19,22,4864,-29.30184,262.8333333333333,0.101953125,0.954823974519968,0.0003,1180,-0.016210437519475818,0.2,-14.571526885032654,1.0388658046722412,0.013125917,0.050671582715585826,-0.016558902338147163
220,20,23,5120,-28.910921,268.89473684210526,0.140625,-0.3334934711456299,0.0003,1190,-0.01685158796608448,0.2,-14.556536078453064,1.0389349460601807,0.021197904,0.6423040758818388,0.07244673371315002
220,21,24,5376,-30.027637,261.25,0.21796875,0.8262483328580856,0.0003,1200,-0.024331861798418685,0.2,-14.565729236602783,1.0405887365341187,0.029505521,0.15753194126300513,0.02403811737895012
220,22,25,5632,-30.027637,261.25,0.027734375,0.0420418381690979,0.0003,1210,-0.00711254074703902,0.2,-14.579486155509949,1.0414403676986694,0.0076592993,64.02417831420898,31.655941009521484
219,23,26,5888,-30.009598,270.42857142857144,0.21484375,0.9674056507647038,0.0003,1220,-0.02787482887506485,0.2,-14.594278502464295,1.0444179773330688,0.028157147,0.09936300301924347,-0.03466937690973282
220,24,27,6144,-30.409992,265.39130434782606,0.112890625,0.7764595746994019,0.0003,1230,-0.02498500475194305,0.2,-14.620057272911072,1.0459040403366089,0.01839583,0.2246512534096837,0.03105584904551506
220,25,29,6400,-29.818274,264.9166666666667,0.02421875,0.04913991689682007,0.0003,1240,-0.008093248907243833,0.2,-14.62607009410858,1.0460890531539917,0.007000936,62.861887621879575,32.910728454589844
220,26,30,6656,-29.125486,261.64,0.15859375,0.8954495489597321,0.0003,1250,-0.014672220894135534,0.2,-14.628011250495911,1.0464030504226685,0.020014638,0.1433148651383817,0.005521029233932495
220,27,31,6912,-28.581728,263.0769230769231,0.130078125,0.5212042331695557,0.0003,1260,-0.023928600712679327,0.2,-14.62645411491394,1.0459696054458618,0.012830184,0.38561773095279933,0.08601801097393036
219,28,32,7168,-22.103273,229.32258064516128,0.098046875,0.8872410953044891,0.0003,1270,-0.021889447257854043,0.2,-14.622974419593811,1.0456225872039795,0.013903907,0.34372215140610934,0.029887426644563675
219,29,33,7424,-21.513506,222.66666666666666,0.00546875,-0.015978217124938965,0.0003,1280,-0.0068815035279840234,0.2,-14.620821547508239,1.0454027652740479,0.0041342513,362.425207901001,105.46121215820312
219,30,34,7680,-22.397673,219.11764705882354,0.10859375,0.40476614236831665,0.0003,1290,-0.015853728004731237,0.2,-14.623454427719116,1.0465898513793945,0.013154384,2.9222498655319216,0.6251839399337769
219,31,36,7936,-22.430767,226.02857142857144,0.001171875,-0.02101290225982666,0.0003,1300,-0.003299050917848945,0.2,-14.635681581497192,1.0473690032958984,0.0028605373,64.8771101474762,41.34542465209961
219,32,37,8192,-22.13937,223.88888888888889,0.107421875,0.9502283707261086,0.0003,1310,-0.025522302254103124,0.2,-14.631220388412476,1.0448744297027588,0.015136906,0.1861412962898612,0.015356652438640594
219,33,38,8448,-21.996977,226.8108108108108,0.19921875,0.7266998589038849,0.0003,1320,-0.02332049165852368,0.2,-14.611199450492858,1.044854760169983,0.021304794,0.27028709221631286,0.08492343127727509
219,34,39,8704,-22.157307,215.65,0.19140625,0.9405221380293369,0.0003,1330,-0.0314756813342683,0.2,-14.622369360923766,1.0467474460601807,0.020989329,0.1691245971247554,0.00017186999320983887
219,35,40,8960,-21.645535,212.57142857142858,0.012890625,0.12349307537078857,0.0003,1340,-0.006524752918630838,0.2,-14.635381746292115,1.046949863433838,0.004476158,61.700189328193666,50.599979400634766
219,36,41,9216,-21.413311,210.8372093023256,0.1125,0.6709145903587341,0.0003,1350,-0.017636269540525974,0.2,-14.63552348613739,1.0477350950241089,0.015478129,0.4784396070986986,0.1125447154045105
219,37,43,9472,-20.974077,207.6888888888889,0.1671875,0.8549844473600388,0.0003,1360,-0.02042081625550054,0.2,-14.636847543716431,1.0461276769638062,0.01066976,0.23310077376663685,0.0887475237250328
219,38,44,9728,-20.575083,205.91489361702128,0.2046875,0.4633099436759949,0.0003,1370,-0.023405284993350504,0.2,-14.628727889060974,1.04795503616333,0.016855314,0.7587291654199362,0.3717336654663086
219,39,45,9984,-19.994593,198.7,0.130078125,0.6397880911827087,0.0003,1380,-0.019464568607509135,0.2,-14.659463453292847,1.0513830184936523,0.010925826,0.7258668713271618,0.23043036460876465
219,40,46,10240,-19.693003,196.1153846153846,0.128125,0.28186309337615967,0.0003,1390,-0.032088385848328474,0.2,-14.68672535419464,1.0534106492996216,0.01701318,1.6286390349268913,0.42072027921676636
219,41,47,10496,-19.646965,197.79245283018867,0.197265625,0.6223960816860199,0.0003,1400,-0.03185414699837565,0.2,-14.693279647827149,1.0529297590255737,0.0168182,0.7258442424237728,0.30719783902168274
