rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/std,train/learning_rate,train/n_updates,train/clip_range,train/approx_kl
235.0,256,1,1,-13.106657,237,,,,,,,,,,,
97.6,512,2,2,-10.959506,226,2.5154766120016574,-0.10232806205749512,-14.195191478729248,-0.030308049498125912,1.4349024295806885,0.205078125,1.0010803937911987,0.0003,10,0.2,0.014388014
72.8,768,3,3,-10.497304,223,7.583108139038086,0.03749972581863403,-14.203925132751465,-0.017835066327825187,2.457650661468506,0.094921875,1.0020134449005127,0.0003,20,0.2,0.015929138
64.13333333333334,1024,4,4,-10.351727,222,5.710529428720474,0.05568957328796387,-14.212941312789917,-0.01750144809484482,2.490565538406372,0.075390625,1.002695083618164,0.0003,30,0.2,0.011051377
64.42105263157895,1280,5,5,-10.277984,221,4.335947895050049,-0.2826498746871948,-14.217818760871888,-0.029987841169349848,2.1213011741638184,0.192578125,1.0027081966400146,0.0003,40,0.2,0.028182555
63.23809523809524,1536,6,6,-10.239713,220,1.885147076845169,-0.0027924776077270508,-14.215909862518311,-0.020095282606780528,0.8757740259170532,0.180859375,1.0034509897232056,0.0003,50,0.2,0.012678589
63.23809523809524,1792,8,7,-10.239713,220,1.1844802379608155,-0.004192471504211426,-14.23178563117981,-0.022515353886410593,0.3315087854862213,0.1578125,1.0051809549331665,0.0003,60,0.2,0.010088017
84.69565217391305,2048,9,8,-9.846194,220,0.31612893072888254,0.9476735480129719,-14.242953205108643,-0.013268868555314839,-0.022445492446422577,0.100390625,1.005387544631958,0.0003,70,0.2,0.009361627
88.2,2304,10,9,-11.447999,219,2.382206052541733,-0.7040013074874878,-14.239301800727844,-0.027792416885495184,0.5603742599487305,0.05703125,1.0051225423812866,0.0003,80,0.2,0.011004188
88.2,2560,11,10,-11.447999,219,67.8971794605255,-0.038634300231933594,-14.242585277557373,-0.0033512495458126066,45.28440856933594,0.0015625,1.005698800086975,0.0003,90,0.2,0.0022678666
102.55555555555556,2816,12,11,-11.519099,219,0.4209310979116708,-0.6143038272857666,-14.247334384918213,-0.014656728506088257,0.014874257147312164,0.092578125,1.0063642263412476,0.0003,100,0.2,0.012348024
102.42857142857143,3072,14,12,-11.44401,218,1.5669554471969604,0.08137816190719604,-14.250512647628785,-0.022311902372166514,0.8575631380081177,0.138671875,1.0058820247650146,0.0003,110,0.2,0.014253768
