rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/loss,train/value_loss,train/approx_kl,train/explained_variance,train/learning_rate
-9.697384,256,1,2,68.33333333333333,122,,,,,,,,,,,
-9.985553,512,2,3,68.14285714285714,146,0.9981476664543152,10,-0.021478658192791045,-14.178785181045532,0.096484375,0.2,2.7842695713043213,7.098894333839416,0.0071464237,0.011258721351623535,0.0003
-9.994577,768,3,4,73.75,164,0.9986324310302734,20,-0.01655020931502804,-14.170582842826843,0.077734375,0.2,2.9767353534698486,6.295163822174072,0.013339451,0.04655289649963379,0.0003
-13.370122,1024,4,5,84.08333333333333,176,0.9978488087654114,30,-0.02300261303316802,-14.172406339645386,0.1453125,0.2,0.3708895444869995,1.5405919685959817,0.00989811,-0.11272704601287842,0.0003
-12.504759,1280,5,6,73.4375,183,0.997994601726532,40,-0.0031666091876104475,-14.166505885124206,0.0,0.2,32.9145393371582,69.7430507183075,0.0016558606,0.007431149482727051,0.0003
-12.045481,1536,6,8,75.45,188,1.0009349584579468,50,-0.024896925152279436,-14.180334424972534,0.157421875,0.2,0.6808438897132874,2.3891895800828933,0.017296534,-0.09151971340179443,0.0003
-12.045481,1792,7,9,75.45,190,1.002783179283142,60,-0.030538949789479373,-14.207030987739563,0.134375,0.2,1.0227841138839722,2.0303442656993864,0.016753696,0.005936324596405029,0.0003
-12.045481,2048,8,10,75.45,194,1.005455493927002,70,-0.01642141570337117,-14.225473952293395,0.10703125,0.2,-0.019231606274843216,0.3008025438990444,0.014077905,0.6097035706043243,0.0003
-12.045481,2304,9,11,75.45,197,1.0077180862426758,80,-0.00869962521828711,-14.253441977500916,0.080859375,0.2,-0.0012858286499977112,0.21625423496589063,0.008201882,-4.47913932800293,0.0003
-12.045481,2560,10,12,75.45,198,1.0094075202941895,90,-0.018883852346334606,-14.273038959503173,0.167578125,0.2,-0.012973311357200146,0.03357129663927481,0.012350958,0.09780508279800415,0.0003
-12.045481,2816,11,14,75.45,199,1.009508728981018,100,-0.02739179416093975,-14.282743501663209,0.241015625,0.2,-0.02628144435584545,0.03508238415233791,0.013933904,-0.618375301361084,0.0003
-13.340887,3072,12,15,136.52380952380952,201,1.007720708847046,110,-0.011898357630707323,-14.275928640365601,0.12734375,0.2,-0.03324565663933754,0.020956425642361866,0.011237827,-0.578285813331604,0.0003
-13.340887,3328,13,16,136.52380952380952,202,1.0069196224212646,120,-0.014949886966496706,-14.259660124778748,0.05390625,0.2,0.046352602541446686,1.1162824964150786,0.011293379,-0.5339083671569824,0.0003
-13.357629,3584,14,17,153.45454545454547,203,1.0059928894042969,130,-0.021867173025384545,-14.253762483596802,0.2546875,0.2,-0.028822967782616615,0.06271933450479991,0.022126451,0.8458938747644424,0.0003
