r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,,,,,r_max
26.3603935241699,26.3603935241699,-12.2100419998169,12.6788148880005,15.109375,12.8571424484253,-1,64,7,64,7,3.02004146575928,1.8072806596756,0,0,4.42169570922852,172.215530395508,,,,,26.3603935241699
28.3276920318603,28.3276920318603,-12.2680788040161,9.79648208618164,14.875,13.7142858505249,-1,64,7,64,7,3.0092499256134,1.81799185276032,0,0,0.346806049346924,338.977264404297,,,,,28.3276920318603
28.3276920318603,12.3805265426636,-14.5672054290772,8.41226673126221,15.4375,15.4285717010498,-1,64,7,64,7,3.02173113822937,1.78747653961182,0,0,2.96874499320984,517.810302734375,,,,,12.3805265426636
28.3276920318603,17.2912006378174,-14.4303855895996,6.16549301147461,14.9375,13.7142858505249,-1,64,7,64,7,3.01903080940247,1.76430702209473,0,0,2.24610567092895,680.357788085938,,,,,17.2912006378174
28.3276920318603,26.4494934082031,-12.5051336288452,15.1196823120117,14.734375,15.7142858505249,-1,64,7,64,7,3.00771021842957,1.76929044723511,0,0,4.55658721923828,855.86181640625,,,,,26.4494934082031
28.3276920318603,17.5248203277588,-9.95840263366699,13.6871137619019,14.609375,15.4285717010498,-1,64,7,64,7,3.04516077041626,1.81139039993286,0,0,10.4946784973145,1015.26849365234,,,,,17.5248203277588
28.3276920318603,25.0338020324707,-12.2306461334229,11.4130344390869,15.640625,17.1428565979004,-1,64,7,64,7,2.99510049819946,1.76107084751129,0,0,3.32318329811096,1177.49035644531,,,,,25.0338020324707
34.8608589172363,34.8608589172363,-10.5354223251343,12.4867115020752,15.953125,15,-1,64,7,64,7,2.98523020744324,1.72968196868896,0,0,3.41128921508789,1341.24621582031,,,,,34.8608589172363
34.8608589172363,10.6390466690063,-15.4814043045044,1.65704560279846,14.984375,17.4285717010498,-1,64,7,64,7,3.00642085075378,1.74450290203094,0,0,-5.36736392974854,1530.01550292969,,,,,10.6390466690063
34.8608589172363,13.0549821853638,-13.4524917602539,7.33547830581665,15.6875,15.4285717010498,-1,64,7,64,7,3.02034187316895,1.72220695018768,0,0,1.86947762966156,1706.552734375,,,,,13.0549821853638
34.8608589172363,17.084114074707,-13.4007549285889,8.46661281585693,15.671875,13.7142858505249,-1,64,7,64,7,3.01991271972656,1.72220695018768,0,0,2.72682762145996,1882.83166503906,,,,,17.084114074707
34.8608589172363,22.2579765319824,-13.5675354003906,9.12354564666748,15.46875,15.4285717010498,-1,64,7,64,7,3.02345895767212,1.78249323368073,0,0,2.50335097312927,2051.83740234375,,,,,22.2579765319824
36.1454124450684,36.1454124450684,-10.1094417572021,18.5382556915283,16.203125,16.4285717010498,-1,64,7,64,7,3.01897549629211,1.76929044723511,0,0,9.4204044342041,2224.46337890625,,,,,36.1454124450684
36.1454124450684,19.4908390045166,-15.0496559143066,6.14578771591187,16.015625,16.8571434020996,-1,64,7,64,7,2.99351453781128,1.74450290203094,0,0,-2.94586706161499,2398.57006835937,,,,,19.4908390045166
36.1454124450684,20.7711486816406,-13.4921045303345,8.9847993850708,15.28125,14.5714282989502,-1,64,7,64,7,3.02626848220825,1.8047890663147,0,0,3.14993786811829,2577.11010742188,,,,,20.7711486816406
36.1454124450684,22.417293548584,-14.1076011657715,12.2003870010376,15.75,13.4285717010498,-1,64,7,64,7,3.01794195175171,1.69330978393555,0,0,5.14949655532837,2757.67260742187,,,,,22.417293548584
36.1454124450684,26.6635570526123,-12.3898811340332,9.799729347229,15.625,15.7142858505249,-1,64,7,64,7,2.99364542961121,1.71647918224335,0,0,1.16144704818726,2930.896484375,,,,,26.6635570526123
36.1454124450684,11.3077669143677,-14.7524318695068,3.73736667633057,15.109375,16.5714282989502,-1,64,7,64,7,3.01461982727051,1.78909456729889,0,0,0.748713374137878,3114.70556640625,,,,,11.3077669143677
