r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
2.599426209926605225e-01,2.599426209926605225e-01,1.472235769033432007e-01,2.091888636350631714e-01,1.439999961853027344e+01,1.169999980926513672e+01,-1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.138245820999145508e+00,2.036833524703979492e+00,4.499999880790710449e-01,1.000000014901161194e-01,1.745585799217224121e-01,6.928981018066406250e+01
4.932994544506072998e-01,4.932994544506072998e-01,1.514075994491577148e-01,2.460334002971649170e-01,1.560999965667724609e+01,1.419999980926513672e+01,-1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.113469123840332031e+00,1.992277503013610840e+00,5.099999904632568359e-01,4.000000059604644775e-01,1.891245096921920776e-01,1.544533996582031250e+02
4.932994544506072998e-01,3.764575719833374023e-01,1.478525102138519287e-01,2.230040431022644043e-01,1.518000030517578125e+01,1.460000038146972656e+01,-1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.127464771270751953e+00,2.051217555999755859e+00,4.699999988079071045e-01,3.000000119209289551e-01,1.690720766782760620e-01,2.229337463378906250e+02
4.932994544506072998e-01,4.136259555816650391e-01,1.499250978231430054e-01,2.450728565454483032e-01,1.535999965667724609e+01,1.369999980926513672e+01,-1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.142055034637451172e+00,2.059326887130737305e+00,4.699999988079071045e-01,2.000000029802322388e-01,1.710643321275711060e-01,2.876762084960937500e+02
4.932994544506072998e-01,3.850701451301574707e-01,1.521731466054916382e-01,2.542983889579772949e-01,1.569999980926513672e+01,1.369999980926513672e+01,-1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.121849060058593750e+00,2.061071157455444336e+00,5.299999713897705078e-01,3.000000119209289551e-01,1.934168785810470581e-01,3.646437988281250000e+02
6.171362400054931641e-01,6.171362400054931641e-01,1.539125591516494751e-01,2.756789028644561768e-01,1.589000034332275391e+01,1.350000000000000000e+01,-1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.125387430191040039e+00,2.028112649917602539e+00,4.699999988079071045e-01,3.000000119209289551e-01,1.739277690649032593e-01,4.351985168457031250e+02
6.171362400054931641e-01,2.730889618396759033e-01,1.511324495077133179e-01,2.361857742071151733e-01,1.557999992370605469e+01,1.569999980926513672e+01,-1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.112511396408081055e+00,2.000386714935302734e+00,4.600000083446502686e-01,2.000000029802322388e-01,2.151808887720108032e-01,5.057435913085937500e+02
6.171362400054931641e-01,5.534843206405639648e-01,1.587086468935012817e-01,3.033428788185119629e-01,1.482999992370605469e+01,1.410000038146972656e+01,-1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.146146059036254883e+00,2.072057247161865234e+00,6.299999952316284180e-01,6.999999880790710449e-01,2.033529281616210938e-01,5.875155639648437500e+02
6.171362400054931641e-01,2.637713849544525146e-01,1.490461081266403198e-01,2.253216505050659180e-01,1.556999969482421875e+01,1.269999980926513672e+01,-1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.127780675888061523e+00,2.058194160461425781e+00,5.099999904632568359e-01,2.000000029802322388e-01,1.736255735158920288e-01,6.545796508789062500e+02
6.171362400054931641e-01,2.978950440883636475e-01,1.494695395231246948e-01,2.382400482892990112e-01,1.619000053405761719e+01,1.539999961853027344e+01,-1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.086979866027832031e+00,2.033345222473144531e+00,4.399999976158142090e-01,2.000000029802322388e-01,1.789904832839965820e-01,7.236224365234375000e+02
