time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/clip_fraction,train/entropy_loss,train/loss,train/clip_range,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/std,train/value_loss,train/explained_variance,rollout/ep_rew_mean
5632,216,26,22,5120,0.1671875,-14.392648243904114,0.1332118958234787,0.2,278.75,0.014070474,-0.01692189839668572,0.0003,1.0307557582855225,0.34243570640683174,0.925689235329628,16.531115
5888,216,27,23,5130,0.015234375,-14.406897139549255,103.34791564941406,0.2,278.57142857142856,0.0053127054,-0.00739367282949388,0.0003,1.0312440395355225,312.13444538116454,0.06701648235321045,15.654666
6144,215,28,24,5140,0.093359375,-14.408801579475403,0.10144734382629395,0.2,278.57142857142856,0.015451448,-0.017751446948386727,0.0003,1.031606912612915,0.7107239440083504,0.8490743488073349,15.654666
6400,215,29,25,5150,0.219921875,-14.393995547294617,0.0008638575673103333,0.2,280.8636363636364,0.019491125,-0.02631113133393228,0.0003,1.0270787477493286,0.1140018105506897,0.977333189919591,15.1106415
6656,215,30,26,5160,0.17265625,-14.358603024482727,0.04745054990053177,0.2,271.7916666666667,0.014527423,-0.018060583528131245,0.0003,1.0271360874176025,0.2601984262466431,0.9634436257183552,17.914366
6912,215,32,27,5170,0.036328125,-14.370171809196473,185.91021728515625,0.2,273.56,0.0075505706,-0.006309092557057738,0.0003,1.0277578830718994,303.66827602386473,0.10339760780334473,17.136314
7168,215,33,28,5180,0.150390625,-14.373846673965454,0.15572479367256165,0.2,275.15384615384613,0.017304724,-0.0199583241250366,0.0003,1.028348684310913,0.3305307152681053,0.9857952734455466,16.70315
7424,216,34,29,5190,0.17265625,-14.382239603996277,0.1148964986205101,0.2,258.75,0.018044386,-0.014997140411287547,0.0003,1.0283565521240234,0.30823087487369777,0.9618840590119362,17.292303
7680,216,35,30,5200,0.09453125,-14.377705550193786,108.94937133789062,0.2,260.3103448275862,0.0129580395,-0.016928789857774972,0.0003,1.0280479192733765,383.73083038330077,0.022634804248809814,16.570948
7936,216,36,31,5210,0.16015625,-14.374482440948487,0.028554264456033707,0.2,261.8,0.017051503,-0.026884878589771687,0.0003,1.0273336172103882,0.5009586965665221,0.9763127081096172,15.834974
8192,216,37,32,5220,0.1984375,-14.369353699684144,0.0031757354736328125,0.2,262.258064516129,0.018955408,-0.02270385534502566,0.0003,1.0273728370666504,0.1984035502653569,0.9733768794685602,15.350725
8448,216,39,33,5230,0.1359375,-14.358265352249145,0.08982662111520767,0.2,262.53125,0.01325147,-0.016742216708371414,0.0003,1.023071050643921,0.12603925773873925,0.9769912511110306,14.774347
8704,216,40,34,5240,0.095703125,-14.320403957366944,0.02587711066007614,0.2,262.53125,0.010593512,-0.010863208607770503,0.0003,1.0212351083755493,0.3564903711900115,0.9009784385561943,14.774347
8960,216,41,35,5250,0.1109375,-14.292958188056947,-0.015796439722180367,0.2,263.8787878787879,0.011544426,-0.01850577462464571,0.0003,1.016688585281372,0.0734897410031408,0.9826323837041855,14.350764
9216,215,42,36,5260,0.19296875,-14.264090967178344,-0.003885094076395035,0.2,258.0,0.014339459,-0.02119108891347423,0.0003,1.0172243118286133,0.08041177478153258,0.9788143262267113,12.053832
